cat,desc
"spo-int--bru","Broadcast discussion"
"spo-int--eli","Elicited speech"
"spo-int--inf","Private conversation"
"spo-nin--wbs","Written-to-be-spoken"
"web-mul--dis","Web discussions"
"web-mul--fcb","Facebook posts"
"web-mul--for","Web forums"
"web-uni--blo","Blogs"
"web-uni--wik","Wikipedia"
"wri-fic--col","Short stories"
"wri-fic-nov-crm","Crime novels"
"wri-fic-nov-fan","Fantasy novels"
"wri-fic-nov-gen","General fiction"
"wri-fic-nov-lov","Romance novels"
"wri-fic-nov-scf","Sci-fi novels"
"wri-fic--scr","Screenplays"
"wri-fic--ver","Poetry, songs"
"wri-nfc--adm","Administrative texts"
"wri-nfc--enc","Encyclopedias"
"wri-nfc--mem","Memoirs"
"wri-nfc-pop-fts","POP: Tech. sc."
"wri-nfc-pop-hum","POP: Humanities"
"wri-nfc-pop-nat","POP: Natural sc."
"wri-nfc-pop-ssc","POP: Social sc."
"wri-nfc-pro-fts","PRO: Tech. sc."
"wri-nfc-pro-hum","PRO: Humanities"
"wri-nfc-pro-nat","PRO: Natural sc."
"wri-nfc-pro-ssc","PRO: Social sc."
"wri-nfc-sci-fts","SCI: Tech. sc."
"wri-nfc-sci-hum","SCI: Humanities"
"wri-nfc-sci-nat","SCI: Natural sc."
"wri-nfc-sci-ssc","SCI: Social sc."
"wri-nmg-lei-hou","Hobby mag."
"wri-nmg-lei-int","Interest. facts mag."
"wri-nmg-lei-lif","Lifestyle mag."
"wri-nmg-lei-mix","Misc. mag."
"wri-nmg-lei-sct","Tabloids"
"wri-nmg-lei-spo","Sport mag."
"wri-nmg-new-com","Op-eds, columns"
"wri-nmg-new-cul","Culture news"
"wri-nmg-new-eco","Economic news"
"wri-nmg-new-fre","Leisure time art."
"wri-nmg-new-pol","Politics news"
"wri-nmg-new-rep","News"
"wri-pri--cor","Letters"
