Feature,Description,Category,Subcategory
PROTV,protetické v,fonologie,konsonanty
FEI,úžení é v í v kořeni,fonologie,vokály
FEIK,úžení é v í v koncovce,fonologie,vokály
FYEJ,přehláska ý > ej v kořeni,fonologie,vokály
FYEJK,přehláska ý > ej v koncovce,fonologie,vokály
FUOU,"přehláska ú > ou, příznakové ou (iniciální)",fonologie,vokály
FOUU,"přehláska ú > ou, příznakové ú (mediální a finální)",fonologie,vokály
WL,průměrná délka slova,fonologie,
EUF,eufonie,fonologie,
ZKR,zkrácené formy,fonologie,verba
CLIT,příklonky,fonologie,
AA,adjektiva,lexikon,adjektiva
PAJ,sémanticky vyprázdněná adjektiva,lexikon,adjektiva
DEMD,ukazovací adverbia,lexikon,adverbia
DB,adverbia,lexikon,adverbia
DT,určení času,lexikon,adverbia
DP,určení místa,lexikon,adverbia
DI,neurčitá adverbia,lexikon,adverbia
RST,restriktory,lexikon,adverbia
PAV,sémanticky vyprázdněná adverbia,lexikon,adverbia
INT,citoslovce,lexikon,citoslovce
FNW,synsémantika,lexikon,funkce/význam
POE,poetismy,lexikon,funkce/význam
VUL,tabuová slova,lexikon,funkce/význam
TIME,časové výrazy,lexikon,funkce/význam
CONJI,inventář spojek,lexikon,konjunkce
MOD,modalita,lexikon,modalita
NUM,numerale,lexikon,numerale
PREI,inventář předložek,lexikon,prepozice
DEM,"ukazovací zájmena (bez ""to"")",lexikon,pronomina
IND,neurčitá zájmena,lexikon,pronomina
P1P,zájmena pro 1. os.,lexikon,pronomina
P2P,zájmena pro 2. os.,lexikon,pronomina
P3P,zájmena pro 3. os.,lexikon,pronomina
PP,pronomina,lexikon,pronomina
PPI,inventář zájmen,lexikon,pronomina
POSP,přivlastňovací zájmena,lexikon,pronomina
NN,substantiva,lexikon,substantiva
PSB,sémanticky vyprázdněná substantiva,lexikon,substantiva
VTS,slovesa myšlení,lexikon,verba
VD,slovesa mluvení,lexikon,verba
VB,slovesa,lexikon,verba
EXI,"existenciální ""být""",lexikon,verba
PVB,sémanticky vyprázdněná slovesa,lexikon,verba
