Feature,Description,Category,Subcategory
AAV,verbal adjectives,Derivation,NA
ABS,abstract nouns,Derivation,NA
ASIM,adjectives denoting similarity,Derivation,NA
DEMI,nouns: diminutives,Derivation,NA
GRAAA,adjectives: analytic gradation,Derivation,NA
GRAD,adjectives: gradation (comparative + superlative),Derivation,NA
GRADD,adverbs: gradation (comparative + superlative),Derivation,NA
NNV,verbal nouns,Derivation,NA
POS,possessive adjectives,Derivation,NA
AA,adjectives,Lexicon,NA
ARCH,archaic function words and adverbs,Lexicon,NA
CONJI,repertoire of conjunctions,Lexicon,NA
DB,adverbs,Lexicon,NA
DEM,"demonstrative pronouns (excl. 'to')",Lexicon,NA
DEMD,demonstrative adverbs,Lexicon,NA
DI,indefinite adverbs,Lexicon,NA
DP,locative adverbs,Lexicon,NA
DT,adverbs of time,Lexicon,NA
FNW,"function words (pron., num., prep., conj. & part.)",Lexicon,NA
GENL,lexical markers of feminine gender,Lexicon,NA
IND,indefinite pronouns,Lexicon,NA
INT,interjections,Lexicon,NA
MOD,modality,Lexicon,NA
NN,nouns,Lexicon,NA
NUM,numerals,Lexicon,NA
P1P,1st person pronouns (personal + possessive),Lexicon,NA
P2P,2nd person pronouns (personal + possessive),Lexicon,NA
P3P,3rd person pronouns (personal + possessive),Lexicon,NA
PAJ,semantically bleached adjectives,Lexicon,NA
PAV,semantically bleached adverbs,Lexicon,NA
POE,poetic words,Lexicon,NA
POSP,possessive pronouns,Lexicon,NA
PP,pronouns,Lexicon,NA
PPI,repertoire of pronouns,Lexicon,NA
PREI,repertoire of prepositions,Lexicon,NA
PSB,semantically bleached nouns,Lexicon,NA
PVB,semantically bleached verbs,Lexicon,NA
RST,restrictors,Lexicon,NA
TIME,time expressions,Lexicon,NA
VB,verbs,Lexicon,NA
VD,reporting verbs (verba dicendi),Lexicon,NA
VTS,thinking and reporting verbs,Lexicon,NA
VUL,profanities (vulgar language),Lexicon,NA
ADN,adjectives with noun declension,Morphology,NA
